DOY',IrriAmount'
79,5.760416667
81,5.855902778
83,5.855902778
86,5.855902778
88,3.623263889
90,3.623263889
93,3.623263889
95,4.534375
97,4.534375
100,4.534375
102,6.175
104,6.175
107,6.175
109,6.504513889
111,6.504513889
114,6.504513889
116,6.442447917
118,6.442447917
121,6.442447917
123,6.442447917
125,6.1765625
128,6.1765625
130,6.089583333
132,6.089583333
135,6.089583333
137,6.510416667
139,6.510416667
142,6.510416667
144,6.578819444
146,6.578819444
149,6.578819444
151,6.569270833
153,6.569270833
156,6.627083333
158,6.25625
160,6.25625
163,6.25625
165,6.304166667
167,6.304166667
170,6.304166667
172,6.285069444
174,6.285069444
177,6.285069444
179,6.251041667
181,6.251041667
184,6.251041667
186,6.239930556
188,6.239930556
191,6.239930556
193,6.261458333
195,6.261458333
198,6.261458333
200,7.378125
202,7.378125
205,7.378125
207,7.373958333
209,7.373958333
212,7.373958333
214,7.267013889
216,7.267013889
219,7.267013889
221,7.039583333
223,7.039583333
226,7.039583333
228,7.064236111
230,7.064236111
233,7.064236111
235,7.086111111
237,7.086111111
240,7.086111111
242,7.077083333
244,7.077083333
247,7.077083333
249,7.210416667
251,7.210416667
254,6.765885417
256,6.765885417
258,6.765885417
261,6.765885417
263,7.072222222
265,7.072222222
268,7.072222222
270,4.523958333
272,4.523958333
275,4.523958333
277,7.219057292
279,6.082407407
282,7.219057292
284,1.926041667
286,1.926041667
289,1.926041667
291,3.901215278
293,3.901215278
296,3.901215278
298,3.901215278
300,3.901215278
303,3.901215278
