Time,temp,hr,srad,rain,wind,co2
1/1/2013 0:00,7.08,88.2,0.606,0,0.2,430
1/1/2013 0:10,7.18,87.4,0.269,0,0.459,430
1/1/2013 0:20,7.2,86.8,0.471,0,0.387,430
1/1/2013 0:30,7.14,87,0.471,0,0.205,430
1/1/2013 0:40,7.08,87.2,0.471,0,0.2,430
1/1/2013 0:50,6.971,87.4,0.606,0,0.2,430
1/1/2013 1:00,7,88,0.673,0.086,0.2,430
1/1/2013 1:10,6.962,88.4,0.471,0.086,0.2,430
1/1/2013 1:20,7.02,89,0.538,0,0.2,430
1/1/2013 1:30,7.1,89.3,0.74,0,0.2,430
1/1/2013 1:40,7.08,89.4,0.538,0.172,0.2,430
1/1/2013 1:50,7.04,89.6,0.74,0.086,0.2,430
1/1/2013 2:00,7.11,89.9,0.471,0.086,0.2,430
1/1/2013 2:10,7.14,90.1,0.538,0,0.2,430
1/1/2013 2:20,7.15,90.4,0.538,0.172,0.2,430
1/1/2013 2:30,7.13,90.5,0.606,0.086,0.2,430
1/1/2013 2:40,6.965,90.6,0.471,0.172,0.2,430
1/1/2013 2:50,6.972,90.7,0.74,0.086,0.2,430
1/1/2013 3:00,6.979,90.9,0.538,0,0.2,430
1/1/2013 3:10,7.06,91.1,0.673,0.172,0.2,430
1/1/2013 3:20,7.07,91.1,0.74,0,0.2,430
1/1/2013 3:30,7.06,91.3,0.74,0.172,0.2,430
1/1/2013 3:40,7.02,91.4,0.538,0.172,0.2,430
1/1/2013 3:50,6.979,91.5,0.538,0.258,0.2,430
1/1/2013 4:00,7.03,91.8,0.673,0.258,0.2,430
1/1/2013 4:10,7.14,91.9,0.471,0.086,0.2,430
1/1/2013 4:20,7.16,91.9,0.673,0.086,0.2,430
1/1/2013 4:30,7.27,92,0.606,0.086,0.2,430
1/1/2013 4:40,7.31,92,0.606,0.172,0.2,430
1/1/2013 4:50,7.33,92.1,0.606,0.258,0.2,430
1/1/2013 5:00,7.35,92.1,0.673,0.258,0.2,430
1/1/2013 5:10,7.41,92.2,0.673,0.258,0.2,430
