Time,Temp,Hr,Srad,Rain,Wind,CO2
6/26/2019 0:00,24.4,58,0,0,3.3,410
6/26/2019 1:00,24.4,58,0,0,3.3,410
6/26/2019 2:00,24.2,54,0,0,3.1,410
6/26/2019 3:00,23.7,51,0,0,2.7,410
6/26/2019 4:00,23,49,0,0,2.7,410
6/26/2019 5:00,22.8,44,10,0,3.3,410
6/26/2019 6:00,24.4,36,102,0,4,410
6/26/2019 7:00,26.2,34,268,0,3.7,410
6/26/2019 8:00,28.5,32,463,0,4.1,410
6/26/2019 9:00,30.2,30,630,0,4.5,410
6/26/2019 10:00,31.8,29,773,0,4.1,410
6/26/2019 11:00,32.6,32,868,0,3,410
6/26/2019 12:00,34,26,936,0,5.4,410
6/26/2019 13:00,34.6,26,946,0,5.4,410
6/26/2019 14:00,34.8,27,898,0,5.1,410
6/26/2019 15:00,34.8,26,780,0,5.1,410
6/26/2019 16:00,34.8,25,624,0,5.3,410
6/26/2019 17:00,34.4,24,453,0,4.9,410
6/26/2019 18:00,33.4,24,276,0,4.9,410
6/26/2019 19:00,31.6,30,111,0,4.4,410
6/26/2019 20:00,30,30,10,0,4.6,410
6/26/2019 21:00,28.8,30,0,0,4.1,410
6/26/2019 22:00,28.4,30,0,0,4.1,410
6/26/2019 23:00,27.4,32,0,0,3.1,410
6/27/2019 0:00,26.4,34,0,0,2.9,410
6/27/2019 1:00,23.8,43,0,0,1.3,410
6/27/2019 2:00,24.4,44,0,0,2,410
6/27/2019 3:00,24,48,0,0,1.7,410
6/27/2019 4:00,22,54,0,0,1.8,410
6/27/2019 5:00,18.8,68,10,0,1.1,410
6/27/2019 6:00,19.6,72,108,0,0.9,410
6/27/2019 7:00,24.1,59,276,0,0.4,410
6/27/2019 8:00,27.4,45,468,0,0.6,410
6/27/2019 9:00,30,39,650,0,1.5,410
6/27/2019 10:00,31.6,36,808,0,2.1,410
6/27/2019 11:00,33.6,32,912,0,2.3,410
6/27/2019 12:00,35.6,28,961,0,2.2,410
6/27/2019 13:00,36.7,26,958,0,1.6,410
6/27/2019 14:00,37.4,25,904,0,2.2,410
6/27/2019 15:00,37,26,732,0,2.9,410
6/27/2019 16:00,35.2,29,536,0,3.1,410
6/27/2019 17:00,34.1,30,346,0,2,410
6/27/2019 18:00,31.8,36,154,0,1.3,410
6/27/2019 19:00,29.2,40,48,0,1.7,410
6/27/2019 20:00,27.2,44,6,0,1.9,410
6/27/2019 21:00,23.6,57,0,0,1.6,410
6/27/2019 22:00,22,62,0,0,1.5,410
6/27/2019 23:00,19.6,75,0,0,1.1,410
6/28/2019 0:00,18.9,72,0,0,1.6,410
6/28/2019 1:00,17.9,80,0,0,0.9,410
6/28/2019 2:00,17.7,80,0,0,1.1,410
6/28/2019 3:00,17.8,76,0,0,1.7,410
6/28/2019 4:00,19,66,0,0,1.7,410
6/28/2019 5:00,16.4,83,9,0,1.3,410
6/28/2019 6:00,19.2,78,119,0,0.6,410
6/28/2019 7:00,24.8,62,279,0,0.1,410
6/28/2019 8:00,27.4,60,487,0,0.3,410
6/28/2019 9:00,29,48,675,0,0.7,410
6/28/2019 10:00,32.1,36,830,0,0.6,410
6/28/2019 11:00,34.1,30,938,0,0.7,410
6/28/2019 12:00,36.6,26,994,0,0.9,410
6/28/2019 13:00,38,21,984,0,0.6,410
6/28/2019 14:00,38.4,18,930,0,0.9,410
6/28/2019 15:00,39,18,807,0,0.9,410
6/28/2019 16:00,39.3,18,670,0,0.7,410
6/28/2019 17:00,39,20,496,0,0.8,410
6/28/2019 18:00,37,30,292,0,1.3,410
6/28/2019 19:00,33.6,38,118,0,1.4,410
6/28/2019 20:00,29.7,41,10,0,1.6,410
6/28/2019 21:00,29,34,0,0,1.4,410
6/28/2019 22:00,26.3,38,0,0,2.1,410
6/28/2019 23:00,24.7,42,0,0,2.2,410
6/29/2019 0:00,24,46,0,0,1.9,410
6/29/2019 1:00,20.6,64,0,0,1.4,410
6/29/2019 2:00,19.3,68,0,0,1.3,410
6/29/2019 3:00,18.4,71,0,0,1.4,410
6/29/2019 4:00,17.6,73,0,0,1,410
6/29/2019 5:00,16.6,81,10,0,0.6,410
6/29/2019 6:00,19.4,75,113,0,0.7,410
6/29/2019 7:00,24.9,60,288,0,0.3,410
6/29/2019 8:00,28.4,43,484,0,0.2,410
6/29/2019 9:00,29.3,42,661,0,0.9,410
6/29/2019 10:00,31,42,817,0,0.6,410
6/29/2019 11:00,33.6,34,924,0,0.3,410
6/29/2019 12:00,35.9,26,977,0,0.4,410
6/29/2019 13:00,37.4,23,978,0,0.5,410
6/29/2019 14:00,38.7,18,918,0,0.6,410
6/29/2019 15:00,39.2,19,810,0,0.6,410
6/29/2019 16:00,39.2,19,688,0,0.9,410
6/29/2019 17:00,38,21,504,0,2,410
6/29/2019 18:00,35.7,24,306,0,2.6,410
6/29/2019 19:00,33.4,26,133,0,2.3,410
6/29/2019 20:00,29.8,29,12,0,2.1,410
6/29/2019 21:00,25.8,40,0,0,1.4,410
6/29/2019 22:00,25.8,40,0,0,2.4,410
6/29/2019 23:00,26.2,36,0,0,2.4,410
6/30/2019 0:00,25,36,0,0,3.1,410
6/30/2019 1:00,25.2,34,0,0,2.6,410
6/30/2019 2:00,24.4,38,0,0,2.6,410
6/30/2019 3:00,23.8,40,0,0,2.6,410
